2022-05-31 14:07:13 status unpacked libpam-modules:arm64 1.1.8-3.6ubuntu2
2022-05-31 14:07:13 install libpam-modules-bin:arm64 <none> 1.1.8-3.6ubuntu2
2022-05-31 14:07:13 status half-installed libpam-modules-bin:arm64 1.1.8-3.6ubuntu2
2022-05-31 14:07:13 status unpacked libpam-modules-bin:arm64 1.1.8-3.6ubuntu2
2022-05-31 14:07:13 status unpacked libpam-modules-bin:arm64 1.1.8-3.6ubuntu2
2022-05-31 14:07:13 install libpam-runtime:all <none> 1.1.8-3.6ubuntu2
2022-05-31 14:07:13 status half-installed libpam-runtime:all 1.1.8-3.6ubuntu2
2022-05-31 14:07:13 status unpacked libpam-runtime:all 1.1.8-3.6ubuntu2
2022-05-31 14:07:13 status unpacked libpam-runtime:all 1.1.8-3.6ubuntu2
2022-05-31 14:07:13 install libpam0g:arm64 <none> 1.1.8-3.6ubuntu2
2022-05-31 14:07:13 status half-installed libpam0g:arm64 1.1.8-3.6ubuntu2
2022-05-31 14:07:13 status unpacked libpam0g:arm64 1.1.8-3.6ubuntu2
2022-05-31 14:07:13 status unpacked libpam0g:arm64 1.1.8-3.6ubuntu2
2022-05-31 14:07:13 install libpcre3:arm64 <none> 2:8.39-9
2022-05-31 14:07:13 status half-installed libpcre3:arm64 2:8.39-9
2022-05-31 14:07:13 status unpacked libpcre3:arm64 2:8.39-9
2022-05-31 14:07:13 status unpacked libpcre3:arm64 2:8.39-9
2022-05-31 14:07:13 install libprocps6:arm64 <none> 2:3.3.12-3ubuntu1
2022-05-31 14:07:13 status half-installed libprocps6:arm64 2:3.3.12-3ubuntu1
2022-05-31 14:07:13 status unpacked libprocps6:arm64 2:3.3.12-3ubuntu1
2022-05-31 14:07:13 status unpacked libprocps6:arm64 2:3.3.12-3ubuntu1
2022-05-31 14:07:13 install libselinux1:arm64 <none> 2.7-2build2
2022-05-31 14:07:13 status half-installed libselinux1:arm64 2.7-2build2
2022-05-31 14:07:14 status unpacked libselinux1:arm64 2.7-2build2
2022-05-31 14:07:14 status unpacked libselinux1:arm64 2.7-2build2
2022-05-31 14:07:14 install libsemanage-common:all <none> 2.7-2build2
2022-05-31 14:07:14 status half-installed libsemanage-common:all 2.7-2build2
2022-05-31 14:07:14 status unpacked libsemanage-common:all 2.7-2build2
2022-05-31 14:07:14 status unpacked libsemanage-common:all 2.7-2build2
2022-05-31 14:07:14 install libsemanage1:arm64 <none> 2.7-2build2
2022-05-31 14:07:14 status half-installed libsemanage1:arm64 2.7-2build2
2022-05-31 14:07:14 status unpacked libsemanage1:arm64 2.7-2build2
2022-05-31 14:07:14 status unpacked libsemanage1:arm64 2.7-2build2
2022-05-31 14:07:14 install libsepol1:arm64 <none> 2.7-1
2022-05-31 14:07:14 status half-installed libsepol1:arm64 2.7-1
2022-05-31 14:07:14 status unpacked libsepol1:arm64 2.7-1
2022-05-31 14:07:14 status unpacked libsepol1:arm64 2.7-1
2022-05-31 14:07:14 install libsmartcols1:arm64 <none> 2.31.1-0.4ubuntu3
2022-05-31 14:07:14 status half-installed libsmartcols1:arm64 2.31.1-0.4ubuntu3
2022-05-31 14:07:14 status unpacked libsmartcols1:arm64 2.31.1-0.4ubuntu3
2022-05-31 14:07:14 status unpacked libsmartcols1:arm64 2.31.1-0.4ubuntu3
2022-05-31 14:07:14 install libss2:arm64 <none> 1.44.1-1
2022-05-31 14:07:14 status half-installed libss2:arm64 1.44.1-1
2022-05-31 14:07:14 status unpacked libss2:arm64 1.44.1-1
2022-05-31 14:07:14 status unpacked libss2:arm64 1.44.1-1
2022-05-31 14:07:14 install libsystemd0:arm64 <none> 237-3ubuntu10
2022-05-31 14:07:14 status half-installed libsystemd0:arm64 237-3ubuntu10
2022-05-31 14:07:14 status unpacked libsystemd0:arm64 237-3ubuntu10
2022-05-31 14:07:14 status unpacked libsystemd0:arm64 237-3ubuntu10
2022-05-31 14:07:14 install libtinfo5:arm64 <none> 6.1-1ubuntu1
2022-05-31 14:07:14 status half-installed libtinfo5:arm64 6.1-1ubuntu1
